count,Name,SpeciesID,BEST,DEFAULT,MAX,B2D,D2M,B2M,RESULT
0,七夕青鳥,altaria,29-0-14-15,28.5-5-9-12,26-15-15-15,2%,2%,2%,29-0-14-15
1,三合一磁怪,magneton,22.5-0-15-15,22-7-14-13,21-15-15-15,-12%,-11%,-12%,21-15-15-15
2,三合一磁怪 暗影化,magneton_shadow,22.5-0-15-15,22-7-14-13,21-15-15-15,-49%,-49%,-49%,21-15-15-15
3,三地鼠,dugtrio,40-7-15-15,37.5-13-15-15,37-15-15-15,1%,0%,1%,40-7-15-15
4,三地鼠 暗影化,dugtrio_shadow,40-7-15-15,37.5-13-15-15,37-15-15-15,0%,0%,0%,37-15-15-15
5,三地鼠 阿羅拉型態,dugtrio_alolan,30-0-12-15,29.5-6-9-14,27.5-15-15-15,0%,0%,0%,27.5-15-15-15
6,三蜜蜂,combee,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
7,三首惡龍,hydreigon,15.5-0-15-10,15-9-13-10,14-15-15-15,0%,2%,0%,15-9-13-10
8,不良蛙,croagunk,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
9,九尾,ninetales,25-0-15-15,25-5-6-13,23-15-15-15,12%,0%,12%,25-0-15-15
10,九尾 暗影化,ninetales_shadow,25-0-15-15,25-5-6-13,23-15-15-15,-17%,-15%,-17%,23-15-15-15
11,九尾 阿羅拉型態,ninetales_alolan,25-0-14-12,23.5-9-15-14,22.5-15-15-15,0%,1%,0%,23.5-9-15-14
12,亞克諾姆,azelf,17-5-15-14,17.5-6-8-9,16-15-15-15,0%,0%,0%,16-15-15-15
13,人造細胞卵,reuniclus,19-2-15-15,19-7-13-6,17.5-15-15-15,-26%,26%,-26%,19-7-13-6
14,代拉基翁,terrakion,15-1-14-15,14.5-12-15-10,14-15-15-15,9%,0%,9%,15-1-14-15
15,代歐奇希斯,deoxys,17-10-15-12,17-15-12-11,16.5-15-15-15,1%,-1%,1%,16.5-15-15-15
16,代歐奇希斯 攻擊型,deoxys_attack,20.5-13-15-14,21.5-11-10-14,20-15-15-15,0%,0%,0%,20-15-15-15
17,代歐奇希斯 速度型,deoxys_speed,18.5-11-15-15,18.5-14-11-13,18-15-15-15,-33%,33%,-33%,18.5-14-11-13
18,代歐奇希斯 防禦型,deoxys_defense,24-10-15-13,23.5-13-12-13,23-15-15-15,-20%,-20%,-20%,23-15-15-15
19,伊布,eevee,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
20,佛烈托斯,forretress,25.5-0-9-15,24.5-6-10-13,23-15-15-15,-17%,-15%,-17%,23-15-15-15
21,佛烈托斯 暗影化,forretress_shadow,25.5-0-9-15,24.5-6-10-13,23-15-15-15,-13%,-14%,-13%,23-15-15-15
22,保母曼波,alomomola,27-0-15-11,25.5-8-15-9,24-15-15-15,-3%,10%,-3%,25.5-8-15-9
23,保母蟲,leavanny,22-0-13-14,22-5-11-6,20-15-15-15,-6%,20%,-6%,22-5-11-6
24,信使鳥,delibird,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
25,信使鳥 暗影化,delibird_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
26,修建老匠,conkeldurr,16.5-3-15-15,16.5-5-15-8,15.5-15-15-15,0%,0%,0%,15.5-15-15-15
27,倫琴貓,luxray,19.5-0-15-12,19-5-11-15,18-15-15-15,-55%,-54%,-55%,18-15-15-15
28,傑尼龜,squirtle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
29,傑尼龜 暗影化,squirtle_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
30,催眠貘,drowzee,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
31,催眠貘 暗影化,drowzee_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
32,傲骨燕,taillow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
33,優雅貓,delcatty,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
34,克雷色利亞,cresselia,20-2-15-13,19.5-7-9-14,18-15-15-15,-12%,-7%,-12%,18-15-15-15
35,六尾,vulpix,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
36,六尾 暗影化,vulpix_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
37,六尾 阿羅拉型態,vulpix_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
38,冰伊布,glaceon,18-0-15-12,18-5-9-9,16.5-15-15-15,0%,35%,0%,18-5-9-9
39,冰鬼護,glalie,27.5-0-13-13,26.5-7-12-11,24.5-15-15-15,2%,-10%,2%,27.5-0-13-13
40,冷水猴,panpour,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
41,冷水猿,simipour,24-0-14-15,24-6-8-12,22-15-15-15,-3%,3%,-3%,24-6-8-12
42,凍原熊,beartic,18.5-0-15-12,18.5-6-6-12,17-15-15-15,0%,1%,0%,18.5-6-6-12
43,凱羅斯,pinsir,19-0-13-14,18.5-9-15-9,17.5-15-15-15,3%,43%,3%,19-0-13-14
44,凱羅斯 暗影化,pinsir_shadow,19-0-13-14,18.5-9-15-9,17.5-15-15-15,-15%,15%,-15%,18.5-9-15-9
45,凱西,abra,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
46,凱西 暗影化,abra_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
47,凱路迪歐 平常型態,keldeo_ordinary,15-0-15-15,14.5-12-15-10,14-15-15-15,-31%,17%,-31%,14.5-12-15-10
